2026-06-25 14:47:46.596 [info] Starting Excalidraw MCP server...
2026-06-25 14:47:46.599 [debug] Connecting to transport...
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.649 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.650 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.651 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.651 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.651 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.652 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.652 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.652 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.652 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.653 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.653 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.653 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.653 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.653 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.653 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.654 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.654 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.654 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.654 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.654 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.654 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.655 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.655 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.655 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.655 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.655 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.656 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.656 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.656 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.656 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.657 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.657 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.657 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.657 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.658 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.658 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.658 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.658 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.659 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.659 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.659 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.659 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.660 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.660 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.660 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.660 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.660 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.661 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.662 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.662 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.662 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.662 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.662 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.662 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.663 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.664 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.664 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.664 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.664 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.664 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.665 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.665 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.665 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.665 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.665 [error] Uncaught exception: EPIPE: broken pipe, write
